Company,Role Level,Principle Name,Principle Description,Behavioral Question,Question Type,Difficulty,Authentic Quote,Source Attribution,Publication,Year
Porsche,Senior,Sustainability First Priority,First priority is avoidance second is reduction and only then compensation for environmental impact,"Tell me about a time when you prioritized prevention and reduction over quick fixes in addressing a problem.",Problem Solving,Hard,"When we talk about sustainability at Porsche, we have one clear, guiding principle: The first priority is avoidance, the second is reduction and only then compensation.",Oliver Blume,Sustainability Philosophy,2024
Continental,Senior,100% Sustainability Commitment,Committed to four 100% ambitions including carbon neutrality emission-free mobility and closed resource cycles,"Tell me about a time when you set 100% commitment goals rather than settling for incremental improvements.",Leadership,Hard,"Continental's four focus areas of sustainability have strong visionary ambitions: 100% carbon neutrality, 100% emission-free mobility, 100% closed resource cycles, 100% responsible sourcing.",Continental AG,Sustainability Ambitions,2024
LVMH,Senior,75 Maisons Leadership,Leading 75 Maisons across 80 countries while maintaining world leadership in luxury goods,"Tell me about a time when you managed diverse business units while maintaining overall brand and performance leadership.",Leadership,Hard,"These principles guide LVMH's operations across its 75 Maisons in 80 countries, maintaining its position as the world leader in luxury goods.",LVMH Group,Global Leadership,2024
L'Oreal,Senior,Coach Leadership Style,Preferring to be called coach rather than using traditional management terms believing in team approach,"Tell me about a time when you coached others to achieve collective success rather than directing them.",Leadership,Hard,"He prefers to eschew traditional management jargon and refer to himself simply as a 'coach,' believing that leading a global company is like coaching a top-tier team.",Nicolas Hieronimus,Leadership Style,2024
Shell,Senior,Net Zero by 2050,Maintaining commitment to becoming net-zero emissions business by 2050 through responsible energy transition,"Tell me about a time when you maintained long-term commitments while navigating changing market conditions.",Leadership,Hard,"One of Sawan's core strategies is leading Shell through a responsible energy transition, with the company maintaining its commitment to becoming a net-zero emissions business by 2050.",Wael Sawan,Environmental Commitment,2024
BASF,Entry Level,We Create Chemistry,Corporate purpose of creating chemistry for a sustainable future guiding all operations,"Tell me about a time when you contributed to creating something meaningful for the future.",Values,Easy,"BASF's corporate purpose is: We create chemistry for a sustainable future, guiding all their operations and innovation efforts.",BASF SE,Corporate Purpose,2024
Allianz,Mid Level,World's Most Trusted Financial Institution,Positioning as world's most trusted financial institution with trust as compass,"Tell me about a time when you worked to build or maintain trust in a challenging situation.",Values,Medium,"The Allianz Group seeks to position itself as the world's most trusted financial institution with trust as their compass as a company.",Allianz SE,Trust Mission,2024
Airbus,Mid Level,Connect Today and Tomorrow,Commercial aircraft mission to connect today and tomorrow because the world is beautiful place,"Tell me about a time when you worked to connect different groups, times, or ideas to create something meaningful.",Teamwork,Medium,"The commercial aircraft business mission is to connect today and tomorrow because the world is a beautiful place and Airbus wants to play their part to keep it that way.",Airbus SE,Mission Statement,2024
HSBC,Mid Level,Smart Risk Taking,Being entrepreneurial by trying new things learning improving and taking smart risks,"Tell me about a time when you took a calculated risk that led to learning and improvement.",Problem Solving,Medium,"HSBC creates value by being entrepreneurial - trying new things, learning and improving, taking smart risks while moving at pace.",HSBC Holdings,Entrepreneurial Culture,2024
Unilever,Mid Level,Plastic Treaty Leadership,Leading call for global plastics treaty with binding rules targets and standards,"Tell me about a time when you led advocacy for systemic change to address an industry-wide challenge.",Leadership,Medium,"The company is leading the call for a global plastics treaty with binding rules, targets and standards on packaging redesign, reuse models, and elimination of avoidable plastics.",Unilever PLC,Environmental Leadership,2024
Vodafone,Mid Level,5G and Innovation Leadership,Leading in 5G technology and innovation while investing heavily in emerging technologies,"Tell me about a time when you led technological innovation that positioned your organization ahead of competitors.",Leadership,Medium,"Innovation is crucial for Vodafone with significant investment in 5G leadership and emerging technologies including IoT and artificial intelligence.",Vodafone Group,Technology Leadership,2024
GSK,Mid Level,Prevent Before Hospital,Question of harnessing biology and technology to prevent disease or intervene to keep people out of hospital,"Tell me about a time when you focused on prevention rather than reactive solutions to address a challenge.",Problem Solving,Medium,"The question is, can we harness biology and technology to get ahead of disease at an earlier stage? Prevent it before it starts or intervene to keep people out of hospital.",Emma Walmsley,Prevention Focus,2024
TotalEnergies,Mid Level,Employee Shareholding Leadership,Confirming leadership position in Europe for employee shareholding at over 8% of share capital,"Tell me about a time when you created shared ownership or investment opportunities that engaged others in success.",Teamwork,Medium,"Employee shareholding is enjoying strong momentum, with TotalEnergies confirming its leadership position in Europe at over 8% of the share capital.",TotalEnergies SA,Employee Ownership,2024
Deutsche Telekom,Mid Level,Women Leadership Record,Achieving 37.5% women on Board of Management making them top 5 in DAX 40,"Tell me about a time when you achieved exceptional diversity results through deliberate inclusive actions.",Leadership,Medium,"Women on the Board of Management reached 37.5%, making them one of the top 5 in the DAX 40 with female Supervisory Board members at 45%.",Deutsche Telekom AG,Diversity Achievement,2024
Deutsche Bank,Mid Level,Highest Revenue Since 2015,Achieving revenues of 30.1 billion euros the highest since 2015 while moving closer to clients,"Tell me about a time when you achieved exceptional performance while strengthening client relationships.",Problem Solving,Medium,"In 2024, Deutsche Bank made great progress with revenues reaching 30.1 billion euros (the highest since 2015) while moving closer to clients.",Christian Sewing,Performance Achievement,2024
AstraZeneca,Mid Level,77.5% Emissions Reduction,Achieving 77.5% reduction in Scope 1 and 2 greenhouse gas emissions since 2015,"Tell me about a time when you achieved significant environmental improvements through systematic efforts.",Problem Solving,Medium,"Progress highlight: 77.5% reduction in Scope 1 and 2 greenhouse gas emissions since 2015 demonstrating strong environmental performance.",AstraZeneca PLC,Environmental Performance,2024
Sanofi,Mid Level,100% Green Electricity,Electricity is 100% green in home country France with net zero target by 2045,"Tell me about a time when you achieved 100% improvement in an important sustainability metric.",Problem Solving,Medium,"Our electricity is 100 percent green here in France, our home country. We'll be net zero in 2045—before that, we hope—and carbon neutral by 2030.",Paul Hudson,Environmental Achievement,2024
BNP Paribas,Mid Level,Long-term Partnership,Aspiring to be preferred long-term partner to clients while contributing to responsible growth,"Tell me about a time when you built long-term partnerships that created mutual value and growth.",Teamwork,Medium,"BNP Paribas aspires to be the preferred long-term partner to clients, and a contributor to responsible and sustainable growth.",BNP Paribas Group,Partnership Philosophy,2024
Tesco,Mid Level,Largest EV Network,Introducing 2700 EV charge points across 600 stores as largest network of any supermarket,"Tell me about a time when you created the largest or most comprehensive solution in your field or industry.",Leadership,Medium,"The company has introduced 2,700 EV charge points across 600 stores, the largest network of any supermarket, plus commitment to all energy from renewable sources by 2030.",Tesco PLC,Infrastructure Leadership,2024
Rolls-Royce,Mid Level,Competitive Advantage Through Efficiency,Achieving ratio of total cash cost to gross margin less than 0.5 targeting 0.4 as competitive advantage,"Tell me about a time when you achieved operational efficiency that became a competitive advantage.",Problem Solving,Medium,"The company's ratio of total cash cost to gross margin is now less than 0.5 and targeting 0.4, which Erginbilgic considers a competitive advantage.",Tufan Erginbilgic,Operational Excellence,2024
Orange,Mid Level,Net Zero Health Systems,Contributing to accelerating transition to net zero health systems while maintaining high performance network infrastructure,"Tell me about a time when you contributed to industry-wide sustainability goals while maintaining operational excellence.",Teamwork,Medium,"There will be no AI without high-performance, secure network infrastructure supporting the transition to net zero health systems while maintaining service quality.",Christel Heydemann,Industry Contribution,2024
Schneider Electric,Mid Level,Life is On,Creating impact by empowering all to make the most of energy and resources with Life is On philosophy,"Tell me about a time when you empowered others to make the most of available resources to create positive impact.",Leadership,Medium,"Schneider Electric's purpose is to create Impact by empowering all to make the most of our energy and resources, bridging progress and sustainability for all. At Schneider Electric, we call this Life Is On.",Schneider Electric,Purpose Statement,2024
Nestle,Mid Level,Innovation and Sustainability Pillars,Focusing on innovation and sustainability as key pillars of strategic vision during transformation,"Tell me about a time when you used innovation and sustainability as core pillars to drive organizational transformation.",Leadership,Medium,"During his tenure, Schneider focused on innovation and sustainability as key pillars of his strategic vision while leading organizational transformation.",Nestlé SA,Strategic Pillars,2024
British American Tobacco,Mid Level,Building Smokeless World,Underpinning vision of Building a Smokeless World through Sustainable Future Quality Growth and Dynamic Business,"Tell me about a time when you worked toward a transformational vision that required multiple strategic initiatives.",Leadership,Medium,"Key pillars of refined BAT strategy including Sustainable Future, Quality Growth and Dynamic Business underpin Building of a Smokeless World vision.",British American Tobacco,Vision Integration,2024
Danone,Mid Level,Nine 2030 Goals,Defining nine 2030 Goals to accelerate food revolution and create superior sustainable profitable value,"Tell me about a time when you set comprehensive long-term goals that integrated multiple dimensions of success.",Leadership,Medium,"To accelerate this food revolution and create superior, sustainable, profitable value for all stakeholders, Danone has defined nine 2030 Goals.",Danone Group,Goal Setting,2024
