Company,Role Level,Principle Name,Principle Description,Behavioral Question,Question Type,Difficulty,Authentic Quote,Source Attribution,Source Publication,Source Year
Gojek,Leadership,Social Impact Through Technology,"Gojek's philosophy of using technology to solve social problems and improve lives across Southeast Asia","Tell me about a time when you used technology or innovation to solve a social problem that was affecting your community or workplace.","Values","Hard","We use technology not just for business success, but to solve social problems and improve lives across Southeast Asia.","Nadiem Makarim","Gojek Social Mission","2018"
Gojek,Mid Level,Three Pillars Excellence,"Gojek's focus on excelling in speed, innovation, and social impact through their platform ecosystem","Tell me about a time when you had to balance speed of execution with innovation quality while ensuring positive social impact.","Leadership","Medium","Our three pillars - speed, innovation, and social impact - must be balanced to create sustainable value for all stakeholders.","Gojek","Platform Strategy","2020"
Gojek,Entry Level,Driver Partner Empowerment,"Gojek's commitment to empowering driver partners and small businesses through economic opportunities","Tell me about a time when you created or contributed to opportunities that helped others improve their economic situation.","Values","Easy","Driver partner empowerment means creating economic opportunities that help people build better lives for themselves and their families.","Gojek","Partner Empowerment","2021"
Lazada,Leadership,E-commerce Ecosystem Building,"Lazada's strategy of building comprehensive e-commerce ecosystems that serve sellers, buyers, and partners","Tell me about a time when you built or contributed to a system that created value for multiple different stakeholders simultaneously.","Leadership","Hard","We build comprehensive e-commerce ecosystems that create value for sellers, buyers, logistics partners, and payment providers.","Pierre Poignant","Lazada Strategy","2020"
Lazada,Mid Level,Cross-Border Commerce Innovation,"Lazada's focus on enabling cross-border commerce to connect Southeast Asian markets","Tell me about a time when you helped connect different markets or regions through technology or innovative processes.","Problem Solving","Medium","Cross-border commerce innovation means connecting Southeast Asian markets to create opportunities for businesses and consumers.","Lazada","Regional Commerce","2021"
Lazada,Entry Level,Seller Success Priority,"Lazada's commitment to helping sellers succeed on their platform through tools, training, and support","Tell me about a time when you went beyond your basic responsibilities to help someone else succeed in their goals.","Teamwork","Easy","Seller success is our priority - we provide tools, training, and support to help every seller thrive on our platform.","Lazada","Seller Support","2022"
Garena,Leadership,Gaming Innovation Excellence,"Garena's commitment to creating innovative gaming experiences that bring people together globally","Tell me about a time when you created or contributed to an experience that brought people together and created lasting connections.","Leadership","Hard","We create innovative gaming experiences that bring people together globally, fostering connections and community.","Forrest Li","Garena Vision","2017"
Garena,Mid Level,Esports Ecosystem Development,"Garena's leadership in developing esports ecosystems that support players, teams, and communities","Tell me about a time when you helped build or support an ecosystem that enabled others to compete and excel at their best.","Leadership","Medium","Esports ecosystem development means creating environments where players, teams, and communities can compete and thrive.","Garena","Esports Strategy","2020"
Garena,Entry Level,Community Engagement Focus,"Garena's emphasis on engaging with gaming communities to understand and serve their evolving needs","Tell me about a time when you actively engaged with a community to understand their needs and used those insights to improve your work.","Culture Fit","Easy","Community engagement means actively listening to gamers and using their insights to continuously improve our games and services.","Garena","Community Strategy","2021"
CIMB Bank,Leadership,ASEAN Banking Leadership,"CIMB's vision of being the leading ASEAN universal bank that serves diverse regional markets","Tell me about a time when you led an initiative that had to work across diverse markets or cultural contexts while maintaining consistent quality.","Leadership","Hard","We strive to be the leading ASEAN universal bank, serving diverse regional markets with consistent excellence.","Tengku Zafrul Aziz","CIMB Vision","2020"
CIMB Bank,Mid Level,Digital Banking Innovation,"CIMB's commitment to leading digital banking transformation across Southeast Asia","Tell me about a time when you led the adoption of digital tools or processes that significantly improved efficiency or customer experience.","Problem Solving","Medium","Digital banking innovation means leveraging technology to provide superior customer experiences and operational efficiency.","CIMB Bank","Digital Strategy","2021"
CIMB Bank,Entry Level,Customer-Centric Service,"CIMB's focus on providing customer-centric banking services that meet diverse regional needs","Tell me about a time when you customized your service or approach to meet the specific needs of a customer or user group.","Culture Fit","Easy","Customer-centric service means understanding and meeting the diverse banking needs of customers across different markets.","CIMB Bank","Customer Service","2022"
Shopee,Leadership,Mobile-First Commerce Vision,"Shopee's strategy of leading mobile-first e-commerce across Southeast Asia and beyond","Tell me about a time when you pioneered a mobile-first approach to solving a problem, even when others preferred traditional methods.","Leadership","Hard","We lead mobile-first e-commerce, recognizing that mobile is how Southeast Asia shops and will continue to shop.","Chris Feng","Shopee Strategy","2019"
Shopee,Mid Level,Seller Empowerment Focus,"Shopee's commitment to empowering sellers through tools, marketing support, and growth opportunities","Tell me about a time when you provided tools or support that significantly helped others grow their business or achieve their goals.","Teamwork","Medium","Seller empowerment means providing tools, marketing support, and opportunities that help sellers grow their businesses.","Shopee","Seller Development","2021"
Shopee,Entry Level,Localization Excellence,"Shopee's approach of adapting their platform to meet specific local market preferences and behaviors","Tell me about a time when you successfully adapted a solution to meet specific local needs or cultural preferences.","Problem Solving","Easy","Localization excellence means adapting our platform to meet the specific preferences and behaviors of each local market.","Shopee","Localization Strategy","2022"
Daiichi Sankyo,Leadership,Passion for Innovation,"Daiichi Sankyo's commitment to innovative pharmaceutical research that addresses unmet medical needs","Tell me about a time when you pursued an innovative solution to address a need that others had overlooked or considered too difficult to solve.","Leadership","Hard","Passion for innovation drives us to develop breakthrough pharmaceutical solutions that address critical unmet medical needs.","Sunao Manabe","Daiichi Sankyo Philosophy","2020"
Daiichi Sankyo,Mid Level,Patient-Centric Focus,"Daiichi Sankyo's philosophy of putting patients at the center of all research and development decisions","Tell me about a time when you made decisions based primarily on end-user benefit rather than internal convenience or metrics.","Culture Fit","Medium","Patient-centric focus means putting patients' needs and outcomes at the center of every decision we make.","Daiichi Sankyo","Patient Focus","2021"
Daiichi Sankyo,Entry Level,Scientific Excellence Pursuit,"Daiichi Sankyo's commitment to maintaining the highest standards of scientific research and development","Tell me about a time when you maintained rigorous quality standards in your work, even when it required additional time or resources.","Values","Easy","Scientific excellence means maintaining the highest standards of research and development to ensure safe, effective medicines.","Daiichi Sankyo","Research Standards","2022"
Takeda,Leadership,Patient-Centered Value Creation,"Takeda's philosophy of creating value by focusing on patient needs and improving health outcomes globally","Tell me about a time when you created value by deeply understanding and addressing the real needs of the people you serve.","Values","Hard","Patient-centered value creation means everything we do must ultimately improve health outcomes and quality of life for patients.","Christophe Weber","Takeda Values","2019"
Takeda,Mid Level,Breakthrough Innovation Pursuit,"Takeda's commitment to pursuing breakthrough innovations that can transform treatment of diseases","Tell me about a time when you pursued a breakthrough innovation that required significant risk-taking and long-term commitment.","Problem Solving","Medium","We pursue breakthrough innovations that can transform treatment, even when success requires significant risk and long-term commitment.","Takeda","Innovation Strategy","2021"
Takeda,Entry Level,Integrity and Transparency,"Takeda's commitment to conducting all business with absolute integrity and transparency","Tell me about a time when you maintained complete transparency and integrity in a situation where it would have been easier to withhold information.","Values","Easy","Integrity and transparency are non-negotiable - we conduct all business with absolute honesty and openness.","Takeda","Code of Conduct","2022"
Astellas,Leadership,Turning Innovation into Value,"Astellas's mission of turning innovative science into value for patients through breakthrough therapies","Tell me about a time when you transformed an innovative idea or research into practical value that benefited others.","Leadership","Hard","We turn innovative science into value for patients by developing breakthrough therapies that address serious medical conditions.","Kenji Yasukawa","Astellas Mission","2020"
Astellas,Mid Level,Collaborative Drug Discovery,"Astellas's approach of collaborating with external partners to accelerate drug discovery and development","Tell me about a time when you achieved better results through external collaboration than you could have achieved working alone.","Teamwork","Medium","Collaborative drug discovery means partnering with external experts to accelerate development of life-changing therapies.","Astellas","Collaboration Strategy","2021"
Astellas,Entry Level,Patient Impact Focus,"Astellas's commitment to measuring success by the positive impact on patients' lives and health outcomes","Tell me about a time when you measured your success primarily by the positive impact you had on others rather than internal metrics.","Culture Fit","Easy","Patient impact focus means measuring our success by how we improve patients' lives and health outcomes.","Astellas","Patient Impact","2022"
NTT,Leadership,Smart Society Realization,"NTT's vision of creating a smart society through advanced information and communication technologies","Tell me about a time when you used technology to make a community or organization significantly smarter or more efficient in how it operates.","Leadership","Hard","We create a smart society by developing advanced ICT that fundamentally improves how communities and businesses operate.","Jun Sawada","NTT Vision 2028","2020"
NTT,Mid Level,Digital Transformation Leadership,"NTT's role in leading digital transformation for enterprises and society through innovative solutions","Tell me about a time when you helped an organization transform digitally, overcoming significant technical and cultural challenges.","Problem Solving","Medium","Digital transformation leadership means helping enterprises and society adopt innovative solutions that revolutionize their capabilities.","NTT","Digital Strategy","2021"
NTT,Entry Level,Sustainable ICT Innovation,"NTT's commitment to developing ICT solutions that contribute to sustainable development goals","Tell me about a time when you developed or implemented a technology solution that had positive environmental or social sustainability impacts.","Values","Easy","Sustainable ICT innovation means developing technology solutions that contribute to environmental protection and social development.","NTT","Sustainability Report","2022"
Nomura,Leadership,Client-Focused Excellence,"Nomura's philosophy of putting client success at the center of all business decisions and strategies","Tell me about a time when you restructured your approach or priorities to better serve a client's needs, even when it created challenges for you internally.","Culture Fit","Hard","Client-focused excellence means putting client success at the center of every decision and strategy we develop.","Kentaro Okuda","Nomura Philosophy","2019"
Nomura,Mid Level,Global Network Leverage,"Nomura's strategy of leveraging global networks to provide superior investment solutions and market access","Tell me about a time when you leveraged your network or connections to create opportunities for others that they couldn't access on their own.","Leadership","Medium","Global network leverage means using our worldwide connections to provide clients access to opportunities and markets.","Nomura","Global Strategy","2020"
Nomura,Entry Level,Risk Management Excellence,"Nomura's commitment to maintaining excellent risk management while pursuing growth opportunities","Tell me about a time when you successfully balanced taking calculated risks with maintaining appropriate safeguards and controls.","Problem Solving","Easy","Risk management excellence means maintaining strict risk controls while still pursuing growth opportunities for our clients.","Nomura","Risk Management","2021"
Mizuho,Leadership,One Mizuho Strategy,"Mizuho's approach of leveraging the entire group's capabilities to provide comprehensive financial solutions","Tell me about a time when you successfully coordinated resources across different departments or teams to provide a comprehensive solution.","Leadership","Hard","One Mizuho means leveraging our entire group's capabilities to provide comprehensive financial solutions that meet all client needs.","Tatsufumi Sakai","Mizuho Strategy","2020"
Mizuho,Mid Level,Sustainable Finance Leadership,"Mizuho's commitment to leading sustainable finance initiatives that support environmental and social goals","Tell me about a time when you integrated sustainability considerations into financial or business decisions to create long-term value.","Values","Medium","Sustainable finance leadership means integrating environmental and social considerations into our financing decisions and business strategies.","Mizuho","Sustainability Strategy","2021"
Mizuho,Entry Level,Customer-Centric Solutions,"Mizuho's focus on developing customized financial solutions that meet specific customer needs","Tell me about a time when you developed a customized solution that perfectly matched a customer's specific requirements and constraints.","Problem Solving","Easy","Customer-centric solutions mean developing customized financial services that precisely meet each customer's unique needs and goals.","Mizuho","Customer Solutions","2022"
SMFG,Leadership,Customer-Oriented Management,"SMFG's philosophy of customer-oriented management that prioritizes long-term relationship building","Tell me about a time when you prioritized building a long-term relationship over achieving short-term transactional benefits.","Culture Fit","Hard","Customer-oriented management means prioritizing long-term relationship building over short-term transactional benefits.","Junichi Hanzawa","SMFG Philosophy","2020"
SMFG,Mid Level,Digital Innovation Banking,"SMFG's commitment to digital innovation that enhances customer experience while maintaining personal service","Tell me about a time when you used digital tools to enhance customer experience while maintaining the personal touch they valued.","Problem Solving","Medium","Digital innovation banking means using technology to enhance customer experience while maintaining personal service and relationships.","SMFG","Digital Banking","2021"
SMFG,Entry Level,Community Contribution Focus,"SMFG's emphasis on contributing to community development through responsible banking practices","Tell me about a time when you considered community impact when making business decisions or developing solutions.","Values","Easy","Community contribution focus means making banking decisions that support community development and economic growth.","SMFG","Community Banking","2022"
Hitachi,Leadership,Social Innovation Vision,"Hitachi's commitment to creating social innovation through technology that improves quality of life globally","Tell me about a time when you developed or implemented a technology solution that had significant positive social impact beyond just business objectives.","Leadership","Hard","We create social innovation through technology that improves quality of life and addresses societal challenges globally.","Toshiaki Higashihara","Hitachi Vision","2019"
Hitachi,Mid Level,Lumada Digital Solutions,"Hitachi's approach of combining operational technology with digital innovation to solve complex business challenges","Tell me about a time when you combined traditional operational knowledge with new digital technologies to solve a complex problem.","Problem Solving","Medium","Lumada represents our approach of combining OT and IT to create digital solutions that solve real-world business challenges.","Hitachi","Lumada Strategy","2020"
Hitachi,Entry Level,Co-creation Partnerships,"Hitachi's philosophy of co-creating solutions with customers and partners rather than working in isolation","Tell me about a time when you co-created a solution with customers or partners, integrating their insights throughout the development process.","Teamwork","Easy","Co-creation partnerships mean working closely with customers and partners to develop solutions that truly meet their needs.","Hitachi","Co-creation Philosophy","2021"
Toshiba,Leadership,Technology Innovation Legacy,"Toshiba's commitment to continuing its legacy of breakthrough technology innovations that benefit society","Tell me about a time when you built upon existing knowledge or technology to create something significantly more advanced or useful.","Leadership","Hard","We continue our legacy of breakthrough technology innovations that have consistently benefited society for over a century.","Satoshi Tsunakawa","Toshiba Innovation","2018"
Toshiba,Mid Level,Infrastructure Solutions Focus,"Toshiba's focus on providing essential infrastructure solutions for energy, transportation, and social systems","Tell me about a time when you worked on essential infrastructure or systems that many people depend on daily.","Problem Solving","Medium","We provide essential infrastructure solutions for energy, transportation, and social systems that societies depend on.","Toshiba","Infrastructure Vision","2020"
Toshiba,Entry Level,Quality and Reliability Standards,"Toshiba's commitment to maintaining the highest quality and reliability standards in all products and services","Tell me about a time when you went above and beyond standard requirements to ensure the highest quality and reliability in your work.","Values","Easy","Quality and reliability standards are non-negotiable - people depend on our products and services for critical functions.","Toshiba","Quality Management","2021"
Fujitsu,Leadership,Human-Centric Innovation,"Fujitsu's philosophy of putting humans at the center of technology innovation to create meaningful solutions","Tell me about a time when you designed a technology solution by first deeply understanding the human needs it would serve.","Leadership","Hard","Human-centric innovation means putting people at the center of technology development to create meaningful, useful solutions.","Takahito Tokita","Fujitsu Philosophy","2020"
Fujitsu,Mid Level,Digital Transformation Expertise,"Fujitsu's expertise in helping organizations navigate complex digital transformations across industries","Tell me about a time when you helped an organization navigate a complex transformation, managing both technical and human change management aspects.","Problem Solving","Medium","Digital transformation expertise means helping organizations navigate complex changes that involve both technology and cultural shifts.","Fujitsu","DX Strategy","2021"
Fujitsu,Entry Level,Sustainable Technology Development,"Fujitsu's commitment to developing technology solutions that contribute to environmental sustainability","Tell me about a time when you incorporated sustainability considerations into a technology project from the beginning rather than as an afterthought.","Values","Easy","Sustainable technology development means considering environmental impact from the start of every technology project we undertake.","Fujitsu","Sustainability Vision","2022"
NEC,Leadership,Orchestrating Social Value,"NEC's mission of orchestrating a brighter world by creating social value through the integration of IT and network technologies","Tell me about a time when you orchestrated different technologies or resources to create social value that benefited a broader community.","Leadership","Hard","We orchestrate a brighter world by creating social value through the integration of IT and network technologies.","Takayuki Morita","NEC Vision","2020"
NEC,Mid Level,Safe Cities Innovation,"NEC's focus on creating safe, secure, and efficient cities through advanced technology solutions","Tell me about a time when you implemented technology solutions that made an environment safer, more secure, or more efficient for users.","Problem Solving","Medium","Safe cities innovation means using advanced technology to make urban environments safer, more secure, and more efficient for everyone.","NEC","Smart Cities","2021"
NEC,Entry Level,Biometric Technology Excellence,"NEC's leadership in biometric technology that balances security with privacy and user experience","Tell me about a time when you had to balance security requirements with user privacy and convenience in a technology solution.","Problem Solving","Easy","Biometric technology excellence means balancing advanced security capabilities with user privacy protection and convenience.","NEC","Biometric Innovation","2022"
Epson,Leadership,Efficient, Compact, Precise Technologies,"Epson's philosophy of developing efficient, compact, and precise technologies that solve customer problems","Tell me about a time when you developed a solution that was simultaneously more efficient, smaller/simpler, and more precise than existing alternatives.","Leadership","Hard","We develop efficient, compact, and precise technologies that elegantly solve customer problems with minimal resource consumption.","Minoru Usui","Epson Philosophy","2019"
Epson,Mid Level,Environmental Vision 2050,"Epson's commitment to achieving sustainability and environmental goals through innovative technology development","Tell me about a time when you contributed to long-term environmental goals through innovative technology or process improvements.","Values","Medium","Environmental Vision 2050 guides us to achieve sustainability through innovative technology that reduces environmental impact.","Epson","Environmental Strategy","2021"
Epson,Entry Level,Customer Value Creation,"Epson's focus on creating genuine value for customers through understanding their real needs and challenges","Tell me about a time when you created genuine value for someone by first deeply understanding their real needs and challenges.","Culture Fit","Easy","Customer value creation means understanding customers' real needs and challenges to develop solutions that truly make their lives better.","Epson","Customer Value","2022"
Nissan,Leadership,Nissan Intelligent Mobility,"Nissan's vision of transforming mobility through electrification, autonomous driving, and connectivity technologies","Tell me about a time when you led transformation in how people approach or think about a fundamental aspect of their work or life.","Leadership","Hard","Nissan Intelligent Mobility transforms how people move by integrating electrification, autonomous driving, and connectivity.","Makoto Uchida","Nissan Vision","2020"
Nissan,Mid Level,Monozukuri Craftsmanship,"Nissan's commitment to Japanese monozukuri craftsmanship that combines traditional quality with modern innovation","Tell me about a time when you combined traditional quality principles with modern innovation to achieve superior results.","Problem Solving","Medium","Monozukuri craftsmanship means combining traditional Japanese quality principles with modern innovation to create exceptional vehicles.","Nissan","Manufacturing Philosophy","2021"
Nissan,Entry Level,Customer-Focused Innovation,"Nissan's approach of innovating based on real customer needs and driving experiences rather than technology for its own sake","Tell me about a time when you innovated based on real user needs rather than just because new technology was available.","Problem Solving","Easy","Customer-focused innovation means developing technology based on real driving needs and experiences rather than technology for its own sake.","Nissan","Innovation Approach","2022"
Suzuki,Leadership,Small Car, Big Impact,"Suzuki's philosophy of creating small, efficient vehicles that have a big positive impact on customers' lives and mobility","Tell me about a time when you created something small or simple that had a disproportionately large positive impact.","Leadership","Hard","Small car, big impact means creating compact, efficient vehicles that significantly improve customers' mobility and quality of life.","Toshihiro Suzuki","Suzuki Philosophy","2020"
Suzuki,Mid Level,Affordable Mobility Solutions,"Suzuki's commitment to providing affordable mobility solutions that serve diverse global markets","Tell me about a time when you developed an affordable solution that effectively served diverse customer segments with different needs.","Problem Solving","Medium","Affordable mobility solutions mean creating vehicles that serve diverse global markets while remaining accessible to many income levels.","Suzuki","Global Strategy","2021"
Suzuki,Entry Level,Fuel Efficiency Focus,"Suzuki's emphasis on developing fuel-efficient vehicles that reduce environmental impact and operating costs","Tell me about a time when you optimized something to use fewer resources while maintaining or improving performance.","Problem Solving","Easy","Fuel efficiency focus means developing vehicles that minimize environmental impact and operating costs while maximizing performance.","Suzuki","Environmental Technology","2022"
Mazda,Leadership,Jinba Ittai Philosophy,"Mazda's jinba-ittai philosophy of creating harmony between car and driver for the ultimate driving experience","Tell me about a time when you created perfect harmony or synchronization between different elements to achieve an optimal outcome.","Leadership","Hard","Jinba-ittai represents the harmony between horse and rider, which we apply to create perfect unity between car and driver.","Akira Marumoto","Mazda Philosophy","2019"
Mazda,Mid Level,SKYACTIV Technology Innovation,"Mazda's SKYACTIV technology approach of optimizing every vehicle component for efficiency and performance","Tell me about a time when you optimized multiple components of a system simultaneously to achieve breakthrough overall performance.","Problem Solving","Medium","SKYACTIV technology optimizes every vehicle component simultaneously to achieve breakthrough efficiency and performance.","Mazda","Technology Innovation","2020"
Mazda,Entry Level,Sustainable Zoom-Zoom,"Mazda's commitment to sustainable driving pleasure that balances environmental responsibility with driving joy","Tell me about a time when you balanced environmental responsibility with performance or enjoyment in your approach to a project.","Values","Easy","Sustainable Zoom-Zoom means balancing environmental responsibility with the driving pleasure and joy that make life worth living.","Mazda","Sustainability Vision","2021"
Subaru,Leadership,Confidence in Motion,"Subaru's philosophy of providing confidence in motion through safety, capability, and emotional connection with customers","Tell me about a time when you built someone's confidence by providing them with reliable capability and forming an emotional connection.","Leadership","Hard","Confidence in motion means providing safety and capability that builds deep emotional connections and trust with our customers.","Tomomi Nakamura","Subaru Philosophy","2020"
Subaru,Mid Level,Symmetrical All-Wheel Drive Excellence,"Subaru's commitment to symmetrical all-wheel drive technology that provides superior safety and performance","Tell me about a time when you used a balanced, symmetrical approach to achieve superior safety and performance outcomes.","Problem Solving","Medium","Symmetrical all-wheel drive excellence provides superior safety and performance through perfectly balanced engineering design.","Subaru","Engineering Philosophy","2021"
Subaru,Entry Level,Love and Trust Building,"Subaru's focus on building love and trust with customers through reliable, safe, and emotionally satisfying vehicles","Tell me about a time when you built love and trust with someone through consistent reliability and genuine care for their needs.","Culture Fit","Easy","Love and trust building means consistently delivering reliability, safety, and emotional satisfaction that creates lasting relationships.","Subaru","Customer Relations","2022"
Olympus,Leadership,True to Life Innovation,"Olympus's commitment to 'true to life' innovation in medical technology and imaging that enhances human health and creativity","Tell me about a time when you developed an innovation that enhanced human health, creativity, or quality of life in a meaningful way.","Leadership","Hard","True to life innovation means developing medical technology and imaging solutions that genuinely enhance human health and creativity.","Yasuo Takeuchi","Olympus Vision","2019"
Olympus,Mid Level,Medical Technology Excellence,"Olympus's focus on advancing medical technology to improve patient outcomes and physician capabilities","Tell me about a time when you advanced technology or processes to improve outcomes for both end users and professionals who serve them.","Problem Solving","Medium","Medical technology excellence means advancing solutions that improve patient outcomes while enhancing physician capabilities.","Olympus","Medical Innovation","2021"
Olympus,Entry Level,Precision and Reliability Standards,"Olympus's commitment to precision and reliability in products that professionals depend on for critical applications","Tell me about a time when you maintained exceptional precision and reliability standards knowing that professionals depended on your work.","Values","Easy","Precision and reliability standards are critical because medical professionals depend on our products for life-saving procedures.","Olympus","Quality Standards","2022"
Ricoh,Leadership,Fulfill Society's Needs,"Ricoh's mission to fulfill society's needs through innovation in office solutions, production printing, and industrial applications","Tell me about a time when you identified and fulfilled an important societal need through innovation and practical solutions.","Leadership","Hard","We fulfill society's needs through innovation in office solutions, production printing, and industrial applications.","Akira Oyama","Ricoh Mission","2020"
Ricoh,Mid Level,Sustainable Business Model,"Ricoh's commitment to sustainable business models that create value for customers while protecting the environment","Tell me about a time when you created business value while simultaneously achieving positive environmental or social outcomes.","Values","Medium","Sustainable business models create value for customers while protecting the environment and contributing to society.","Ricoh","Sustainability Strategy","2021"
Ricoh,Entry Level,Customer Productivity Focus,"Ricoh's focus on improving customer productivity through efficient, user-friendly workplace solutions","Tell me about a time when you improved someone's productivity by making their work processes more efficient and user-friendly.","Culture Fit","Easy","Customer productivity focus means developing workplace solutions that make people more efficient and successful in their daily work.","Ricoh","Productivity Solutions","2022"
Nikon,Leadership,Trustworthiness Through Precision,"Nikon's philosophy of building trustworthiness through precision optics and imaging technology","Tell me about a time when you built trust through exceptional precision and attention to detail in your work.","Leadership","Hard","Trustworthiness through precision means building customer confidence through exceptional accuracy and quality in everything we create.","Kazuo Ushida","Nikon Philosophy","2019"
Nikon,Mid Level,Optical Excellence Innovation,"Nikon's commitment to advancing optical technology that captures and preserves important moments and discoveries","Tell me about a time when you advanced technology that helped capture or preserve something important for others.","Problem Solving","Medium","Optical excellence innovation means advancing technology that helps people capture and preserve their most important moments and discoveries.","Nikon","Optical Innovation","2020"
Nikon,Entry Level,Professional-Grade Quality,"Nikon's commitment to providing professional-grade quality that meets the demanding standards of experts","Tell me about a time when you delivered professional-grade quality that met or exceeded the demanding standards of experts in your field.","Values","Easy","Professional-grade quality means meeting the demanding standards of experts who depend on our products for their professional success.","Nikon","Professional Standards","2021"
Kao,Leadership,Yoki-Monozukuri Philosophy,"Kao's yoki-monozukuri philosophy of creating products that contribute to the wholesomeness of life","Tell me about a time when you created something that contributed to the overall wholesomeness and well-being of people's daily lives.","Leadership","Hard","Yoki-monozukuri means creating products that contribute to the wholesomeness of life and make everyday living better.","Michitaka Sawai","Kao Philosophy","2020"
Kao,Mid Level,ESG Commitment Excellence,"Kao's strong commitment to ESG (Environmental, Social, Governance) principles in all business operations","Tell me about a time when you integrated environmental, social, and governance considerations into your decision-making process.","Values","Medium","ESG commitment excellence means integrating environmental, social, and governance principles into every aspect of our business.","Kao Corporation","ESG Strategy","2021"
Kao,Entry Level,Customer Lifestyle Enhancement,"Kao's focus on understanding and enhancing customers' lifestyles through innovative consumer products","Tell me about a time when you enhanced someone's lifestyle by developing an innovative solution based on deep understanding of their daily needs.","Culture Fit","Easy","Customer lifestyle enhancement means understanding how people live and creating products that genuinely improve their daily experiences.","Kao Corporation","Customer Focus","2022"
Suntory,Leadership,Growing for Good Philosophy,"Suntory's 'Growing for Good' philosophy that balances business growth with positive social and environmental impact","Tell me about a time when you achieved business growth while simultaneously creating positive social or environmental impact.","Leadership","Hard","Growing for Good means achieving business success while creating positive impact for society and the environment.","Takeshi Niinami","Suntory Philosophy","2019"
Suntory,Mid Level,Premium Quality Craftsmanship,"Suntory's commitment to premium quality craftsmanship in beverages that honor Japanese traditions","Tell me about a time when you maintained premium quality standards while honoring traditional methods or values.","Values","Medium","Premium quality craftsmanship honors Japanese traditions while creating beverages that meet the highest standards of excellence.","Suntory","Quality Craftsmanship","2021"
Suntory,Entry Level,Natural Harmony Respect,"Suntory's respect for natural harmony and water resources that are essential to their business","Tell me about a time when you showed respect for natural resources or environmental harmony in your work approach.","Values","Easy","Natural harmony respect means cherishing water and natural resources that are essential to creating our products.","Suntory","Environmental Stewardship","2022"
Muji,Leadership,Simplicity and Essence Philosophy,"Muji's philosophy of simplicity and essence, creating products by eliminating the unnecessary","Tell me about a time when you created something better by eliminating unnecessary complexity or features rather than adding more.","Leadership","Hard","Simplicity and essence philosophy means creating better products by eliminating the unnecessary rather than adding more features.","Kanai Manabu","Muji Philosophy","2018"
Muji,Mid Level,This Will Do Approach,"Muji's 'this will do' approach that focuses on creating practical, sufficient solutions rather than excessive luxury","Tell me about a time when you created a practical, sufficient solution that perfectly met needs without unnecessary excess or complexity.","Problem Solving","Medium","'This will do' approach means creating practical, sufficient solutions that meet needs perfectly without unnecessary luxury or complexity.","Muji","Design Philosophy","2020"
Muji,Entry Level,Anonymous Good Design,"Muji's commitment to anonymous good design that serves users without drawing attention to itself","Tell me about a time when you created something that served users excellently while remaining simple and unobtrusive.","Culture Fit","Easy","Anonymous good design serves users excellently while remaining simple, unobtrusive, and focused on function over form.","Muji","Design Principles","2021"
